OrderID,Username,OrderItem,FinalPrice,Quantity,TotalPrice,TransactionDate,Status,Rating
ORD1100,tina98,Bagels,7.50,8,60.00,2024-07-01 11:00,Done,-
ORD1100,tina98,Croissants,8.50,5,42.50,2024-07-01 11:00,Done,4
ORD1100,tina98,Muffin,3.50,10,35.00,2024-07-01 11:00,Done,3
ORD1100,tina98,Brownie,9.50,4,38.00,2024-07-01 11:00,Done,5
ORD1101,lucas45,Croissants,8.50,15,127.50,2024-07-02 14:20,Done,4
ORD1102,ben_j34,Cookies,3.50,5,17.50,2024-07-03 17:10,Done,4
ORD1102,ben_j34,Sausage Roll,4.00,10,40.00,2024-07-03 17:10,Done,5
ORD1103,kira_w66,Sausage Roll,4.00,10,40.00,2024-07-04 08:30,Done,5
ORD1103,kira_w66,Croissants,8.50,12,102.00,2024-07-04 08:30,Done,3
ORD1103,kira_w66,Brownie,9.50,4,38.00,2024-07-04 08:30,Done,4
ORD1104,max89,Brownie,9.50,20,190.00,2024-07-05 21:00,Done,5
ORD1104,max89,Croissants,8.50,12,102.00,2024-07-05 21:00,Done,3
ORD1104,max89,Muffin,3.50,8,28.00,2024-07-05 21:00,Done,4
ORD1105,lina44,Croissants,8.50,5,42.50,2024-07-06 19:45,Done,4
ORD1105,lina44,Muffin,3.50,10,35.00,2024-07-06 19:45,Done,3
ORD1105,lina44,Tart,4.50,6,27.00,2024-07-06 19:45,Done,5
ORD1106,june78,Cheesecake,10.50,12,126.00,2024-07-07 10:12,Done,4
ORD1106,june78,Muffin,3.50,8,28.00,2024-07-07 10:12,Done,4
ORD1106,june78,Brownie,9.50,4,38.00,2024-07-07 10:12,Done,5
ORD1107,sara76,Muffin,3.50,10,35.00,2024-07-08 18:25,Done,3
ORD1108,harry23,Tart,4.50,6,27.00,2024-07-09 20:34,Done,4
ORD1109,nash_j72,Doughnuts,3.50,12,42.00,2024-07-10 09:45,Done,5
ORD1109,nash_j72,Croissants,8.50,5,42.50,2024-07-10 09:45,Done,3
ORD1110,kenny12,Doughnuts,3.50,18,63.00,2024-07-11 14:12,Done,5
ORD1111,joey55,Brownie,9.50,5,47.50,2024-07-12 16:32,Done,4
ORD1111,joey55,Croissants,8.50,12,102.00,2024-07-12 16:32,Done,3
ORD1112,harry23,Bagels,7.50,10,75.00,2024-07-13 12:09,Done,5
ORD1113,lucas45,Sausage Roll,4.00,8,32.00,2024-07-14 10:00,Done,5
ORD1114,sara76,Muffin,3.50,6,21.00,2024-07-15 11:00,Done,4
ORD1114,sara76,Brownie,9.50,4,38.00,2024-07-15 11:00,Done,4
ORD1115,june78,Croissants,8.50,5,42.50,2024-07-28 14:00,Done,5
ORD1116,tina98,Croissants,8.50,4,34.00,2024-08-01 12:30,Done,5
ORD1116,tina98,Doughnuts,3.50,10,35.00,2024-08-01 12:30,Done,4
ORD1117,lucas45,Muffin,3.50,6,21.00,2024-08-03 09:15,Done,4
ORD1118,ben_j34,Brownie,9.50,3,28.50,2024-08-04 14:45,Done,3
ORD1119,kira_w66,Tiramisu,11.00,2,22.00,2024-08-05 16:00,Done,4
ORD1120,max89,Sausage Roll,4.00,10,40.00,2024-08-06 11:30,Done,5
ORD1121,lina44,Cookies,3.50,8,28.00,2024-08-07 15:00,Done,5
ORD1122,june78,Doughnuts,3.50,12,42.00,2024-08-09 10:20,Done,4
ORD1123,sara76,Tart,4.50,5,22.50,2024-08-10 19:00,Done,4
ORD1123,sara76,Brownie,9.50,4,38.00,2024-08-10 19:00,Done,5
ORD1124,harry23,Bagels,7.50,7,52.50,2024-08-11 13:40,Done,5
ORD1125,nash_j72,Croissants,8.50,9,76.50,2024-08-12 16:55,Done,3
ORD1126,kenny12,Brownie,9.50,6,57.00,2024-08-13 12:30,Done,4
ORD1127,joey55,Tiramisu,11.00,1,11.00,2024-08-14 14:20,Done,5
ORD1128,harry23,Sausage Roll,4.00,15,60.00,2024-08-15 11:00,Done,4
ORD1129,lucas45,Cookies,3.50,10,35.00,2024-08-16 09:30,Done,3
ORD1130,ben_j34,Doughnuts,3.50,5,17.50,2024-08-17 17:00,Done,4
ORD1131,kira_w66,Croissants,8.50,4,34.00,2024-08-18 14:15,Done,5
ORD1132,max89,Tart,4.50,6,27.00,2024-08-20 16:30,Done,3
ORD1133,lina44,Brownie,9.50,8,76.00,2024-08-21 12:00,Done,5
ORD1134,june78,Cheesecake,10.50,3,31.50,2024-08-22 10:45,Done,4
ORD1135,sara76,Pie,6.00,2,12.00,2024-08-23 15:00,Done,4
ORD1136,nash_j72,Muffin,3.50,9,31.50,2024-08-24 11:20,Done,5
ORD1136,nash_j72,Bagels,7.50,5,37.50,2024-08-24 11:20,Done,4
ORD1137,tina98,Brownie,9.50,4,38.00,2024-08-25 13:00,Done,5
ORD1138,lucas45,Tart,4.50,7,31.50,2024-08-26 14:15,Done,4
ORD1139,june78,Croissants,8.50,3,25.50,2024-08-27 10:00,Done,3
ORD1140,tina98,Croissants,8.50,5,42.50,2024-09-01 12:00,Done,4
ORD1140,tina98,Muffin,3.50,6,21.00,2024-09-01 12:00,Done,5
ORD1141,lucas45,Brownie,9.50,4,38.00,2024-09-02 10:30,Done,5
ORD1141,lucas45,Croissants,8.50,7,59.50,2024-09-02 10:30,Done,4
ORD1142,ben_j34,Doughnuts,3.50,10,35.00,2024-09-03 14:15,Done,4
ORD1143,kira_w66,Tiramisu,11.00,2,22.00,2024-09-04 15:00,Done,3
ORD1143,kira_w66,Muffin,3.50,5,17.50,2024-09-04 15:00,Done,5
ORD1144,max89,Sausage Roll,4.00,15,60.00,2024-09-05 11:30,Done,5
ORD1144,max89,Brownie,9.50,3,28.50,2024-09-05 11:30,Done,4
ORD1145,lina44,Bagels,7.50,8,60.00,2024-09-06 09:45,Done,4
ORD1145,lina44,Croissants,8.50,5,42.50,2024-09-06 09:45,Done,5
ORD1146,june78,Croissants,8.50,7,59.50,2024-09-07 10:20,Done,5
ORD1146,june78,Doughnuts,3.50,10,35.00,2024-09-07 10:20,Done,4
ORD1147,sara76,Muffin,3.50,10,35.00,2024-09-08 18:00,Done,4
ORD1148,harry23,Brownie,9.50,5,47.50,2024-09-09 14:10,Done,3
ORD1148,harry23,Croissants,8.50,6,51.00,2024-09-09 14:10,Done,4
ORD1149,nash_j72,Cookies,3.50,12,42.00,2024-09-10 11:00,Done,4
ORD1150,kenny12,Doughnuts,3.50,10,35.00,2024-09-11 16:30,Done,5
ORD1151,joey55,Tiramisu,11.00,3,33.00,2024-09-12 12:15,Done,4
ORD1151,joey55,Sausage Roll,4.00,5,20.00,2024-09-12 12:15,Done,5
ORD1152,ben_j34,Croissants,8.50,5,42.50,2024-09-13 15:00,Done,4
ORD1153,kira_w66,Sausage Roll,4.00,8,32.00,2024-09-14 09:30,Done,5
ORD1153,kira_w66,Tiramisu,11.00,2,22.00,2024-09-14 09:30,Done,3
ORD1154,max89,Muffin,3.50,10,35.00,2024-09-15 11:00,Done,4
ORD1155,lina44,Doughnuts,3.50,7,24.50,2024-09-16 14:25,Done,3
ORD1155,lina44,Brownie,9.50,3,28.50,2024-09-16 14:25,Done,5
ORD1156,june78,Bagels,7.50,4,30.00,2024-09-17 10:00,Done,5
ORD1157,sara76,Tart,4.50,5,22.50,2024-09-18 16:15,Done,4
ORD1158,tina98,Cookies,3.50,10,35.00,2024-09-19 13:30,Done,5
ORD1158,tina98,Brownie,9.50,4,38.00,2024-09-19 13:30,Done,4
ORD1159,lucas45,Brownie,9.50,3,28.50,2024-09-20 12:00,Done,4
ORD1159,lucas45,Tart,4.50,5,22.50,2024-09-20 12:00,Done,3
ORD1160,harry23,Croissants,8.50,6,51.00,2024-09-21 11:15,Done,4
ORD1161,nash_j72,Sausage Roll,4.00,12,48.00,2024-09-22 10:45,Done,3
ORD1162,kenny12,Tiramisu,11.00,2,22.00,2024-09-23 14:00,Done,4
ORD1162,kenny12,Croissants,8.50,5,42.50,2024-09-23 14:00,Done,5
ORD1163,lina44,Brownie,9.50,2,19.00,2024-09-24 10:30,Done,3
ORD1163,lina44,Doughnuts,3.50,6,21.00,2024-09-24 10:30,Done,4
ORD1164,june78,Muffin,3.50,8,28.00,2024-09-25 11:15,Done,4
ORD1165,tina98,Bagels,7.50,10,75.00,2024-09-26 13:00,Done,4
ORD1165,tina98,Croissants,8.50,5,42.50,2024-09-26 13:00,Done,5
ORD1166,ben_j34,Muffin,3.50,15,52.50,2024-09-27 11:30,Done,3
ORD1167,max89,Doughnuts,3.50,8,28.00,2024-09-28 14:15,Done,4
ORD1168,lucas45,Croissants,8.50,12,102.00,2024-09-29 10:00,Done,5
ORD1169,kira_w66,Brownie,9.50,4,38.00,2024-09-30 09:45,Done,4
ORD1170,sara76,Tart,4.50,6,27.00,2024-09-30 15:30,Done,5
ORD1170,sara76,Croissants,8.50,5,42.50,2024-09-30 15:30,Done,3
ORD1171,june78,Doughnuts,3.50,10,35.00,2024-09-30 11:00,Done,5
ORD1172,harry23,Muffin,3.50,8,28.00,2024-09-30 16:00,Pending,-
ORD1173,nash_j72,Brownie,9.50,3,28.50,2024-09-30 12:30,Pending,-
ORD1173,nash_j72,Cookies,3.50,10,35.00,2024-09-30 12:30,Done,5
ORD1174,kenny12,Croissants,8.50,5,42.50,2024-09-30 14:00,Pending,-
ORD1175,lina44,Tiramisu,11.00,2,22.00,2024-09-30 17:15,Pending,-
ORD1175,lina44,Bagels,7.50,2,15.00,2024-09-30 17:15,Pending,-
ORD1176,max89,Croissants,7.48,13,97.24,2024-11-03 02:20,Done,4
ORD1176,max89,Muffin,3.08,5,15.40,2024-11-03 02:20,Done,-
ORD1176,max89,Brownie,8.36,2,16.72,2024-11-03 02:20,Done,4
ORD1177,max89,Bagels,6.10,14,85.40,2024-11-03 02:26,Pending,-
ORD1177,max89,Cookies,3.08,30,92.40,2024-11-03 02:26,Pending,-
ORD1177,max89,Brownie,8.36,9,75.24,2024-11-03 02:26,Done,-
ORD1177,max89,Sausage Roll,3.52,24,84.48,2024-11-03 02:26,Done,-
ORD1177,max89,Cheesecake,9.24,8,73.92,2024-11-03 02:26,Done,-
ORD1178,lina44,Cookies,3.08,29,89.32,2024-11-03 07:35,Pending,-
ORD1178,lina44,Brownie,8.36,5,41.80,2024-11-03 07:35,Done,-
ORD1178,lina44,Tiramisu,9.68,9,87.12,2024-11-03 07:35,Done,-
ORD1178,lina44,Sandwich,5.72,23,131.56,2024-11-03 07:35,Pending,-
ORD1179,max89,Cookies,2.93,30,87.90,2024-11-03 16:44,Pending,-
